alpha,y_num,data_type,shape,dLx,dLy,iP,q_infc,n_points,d_perc,n_contours_total,n_contours_failed,Fx_bernoulli,Fz_bernoulli,C_l_bernoulli,C_d_bernoulli,vort_abs_mean,vort_abs_max,vort_rel_mean,vort_rel_max,n_valid_segments,valid_fraction,Fx_bernoulli_std,Fz_bernoulli_std,C_l_bernoulli_std,C_d_bernoulli_std,vort_abs_mean_std,vort_abs_max_std,vort_rel_mean_std,vort_rel_max_std,n_valid_segments_std,valid_fraction_std,n_contours_used
6,1,CFD,ellipse,0.6,0.37,360,53.7768612,1,5.0,1,0,-1.4010604128640665,40.656949741428704,0.7560305461157838,-0.02605322031818522,9.342932010978226,223.63202668510215,0.2481153372619323,5.938878251318239,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,1,CFD,rectangle,0.6,0.37,360,53.7768612,1,5.0,1,0,-1.5508835156012082,38.925986568351625,0.7238426657811636,-0.028839234588894307,7.299303506851094,216.5887406330595,0.19384376866400221,5.7518334037070815,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,1,PIV,ellipse,0.6,0.37,360,53.7768612,1,5.0,1,0,2.1419255379720794,37.870687544418004,0.7042190023618933,0.03982987274036141,20.045452145558595,396.8601285522339,0.5323365420854058,10.539205950107476,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,1,PIV,rectangle,0.6,0.37,360,53.7768612,1,5.0,1,0,3.3440398221231757,34.358370695697104,0.6389062122446281,0.06218361852110431,20.390374895044335,530.5796376693328,0.5414964743440809,14.090324706414814,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2,CFD,ellipse,0.67,0.39,360,53.7768612,1,5.0,1,0,-3.848303665429361,37.88641586626045,0.7045114761413492,-0.07156058534389435,4.867638025856165,125.9625091174916,0.12629541819984635,3.2682150320118413,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2,CFD,rectangle,0.67,0.39,360,53.7768612,1,5.0,1,0,-4.278350573468679,37.04856362295616,0.6889313135099109,-0.07955746166659276,3.916452464519155,125.18544902464546,0.10161601976951964,3.248053481610781,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2,PIV,ellipse,0.67,0.39,360,53.7768612,1,5.0,1,0,-1.2998460251760888,35.8781299085761,0.6671666792738752,-0.024171102518272095,13.798707105353435,356.1181735420232,0.3580203530399693,9.239818864333996,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2,PIV,rectangle,0.67,0.39,360,53.7768612,1,5.0,1,0,0.05025683159713026,33.659270097833534,0.6259061861690346,0.0009345437884561819,6.533246011729109,179.4676389716533,0.169511174181584,4.656455635539436,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3,CFD,ellipse,0.67,0.43,360,53.7768612,1,5.0,1,0,-2.4473378446860123,35.895098972293475,0.667482225093001,-0.04550912400008226,7.162315646559012,128.06836061218272,0.18345965936526654,3.280416414580532,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3,CFD,rectangle,0.67,0.43,360,53.7768612,1,5.0,1,0,-2.6965383849375484,34.446831997308784,0.6405511818400584,-0.05014309732412476,5.422659574877871,118.23802961253267,0.13889911134241137,3.028616680299056,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
