parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
0.333,2.7677933766030702,34.12801496075186,0.6346226648265567,0.05146810942180966,0.14123029774212917,True,0.23666314738266106,0.1357793031213258,0.54,0.333,360,0.0,5.111294311624072,5.111294311624072,0.17832489645651173,100.0,3639,186,186,2.090714739380506,0.6997966126897921
0.3478,2.2601315013478933,34.11430312974865,0.63436768841668,0.042027954977556285,0.14750719986400157,True,0.23666314738266106,0.1357793031213258,0.54,0.3478,360,0.0,4.514733711814004,4.514733711814004,0.16010891240987882,100.0,3699,167,167,2.0816140091617736,0.6967504485909254
0.3626,1.992377608176894,33.552233780761206,0.6239158075064672,0.03704897540909089,0.15378410198587397,True,0.23666314738266106,0.1357793031213258,0.54,0.3626,360,0.0,4.309656823623304,4.309656823623304,0.155315232397607,100.0,3759,162,162,2.073475248572229,0.6940262715500422
0.37739999999999996,1.951569965403876,32.66200240130923,0.6073616360731227,0.036290142672065734,0.16006100410774637,True,0.23666314738266106,0.1357793031213258,0.54,0.37739999999999996,360,0.0,4.006284367635507,4.006284367635507,0.14668660837551772,100.0,3819,153,153,2.067733507666664,0.6921044164251065
0.3922,1.8610014052686488,32.09193357076406,0.5967610019374664,0.03460598784944795,0.1663379062296188,True,0.23666314738266106,0.1357793031213258,0.54,0.3922,360,0.0,4.098994586233565,4.098994586233565,0.1524390243902439,100.0,3879,159,159,2.063513947184352,0.6906920601256352
0.407,1.7248311524343969,31.773498443813637,0.5908395866699196,0.0320738532139246,0.17261480835149118,True,0.23666314738266106,0.1357793031213258,0.54,0.407,360,0.0,5.102817974105103,5.102817974105103,0.1927059364933272,100.0,3939,201,201,2.059307175449509,0.6892839844302993
0.333,3.219279442514508,32.317165002589654,0.6009492611032058,0.059863654565888054,0.14750719986400157,True,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.333,360,0.0,6.036324786324786,6.036324786324786,0.2166743365546863,100.0,3744,226,226,2.0783346053913405,0.6956527782072214
0.3478,2.909219148589169,32.108415144333016,0.5970674827026352,0.054097972318792924,0.15406307541351275,True,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.3478,360,0.0,5.28391167192429,5.28391167192429,0.1927059364933272,100.0,3804,201,201,2.0689111491768064,0.6924985924091552
0.3626,2.9012465029060883,31.713641327080126,0.5897265221399743,0.05394971811605264,0.16061895096302392,True,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.3626,360,0.0,5.072463768115942,5.072463768115942,0.1879122564810554,100.0,3864,196,196,2.0625281773174673,0.6903621067366128
0.37739999999999996,3.0175605214078165,31.335325646574304,0.5826916065263829,0.05611261896050967,0.1671748265125351,True,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.37739999999999996,360,0.0,4.612640163098878,4.612640163098878,0.1735312164442399,100.0,3924,181,181,2.0592248396905184,0.6892564252974536
0.3922,3.2154283089296465,31.036606617936005,0.5771368191703983,0.05979204135717848,0.1737307020620463,True,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.3922,360,0.0,4.693775100401607,4.693775100401607,0.17928363245896609,100.0,3984,187,187,2.0548840464909186,0.6878034904133925
0.407,3.323240252023807,30.78325605568659,0.572425674700527,0.061796843063496,0.18028657761155747,True,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.407,360,0.0,5.835806132542038,5.835806132542038,0.22626169657922995,100.0,4044,236,236,2.048767244985491,0.6857560963364451
0.333,3.903048368768267,31.58898890601527,0.5874085657125573,0.07257858271520443,0.15378410198587397,True,0.23666314738266106,0.1357793031213258,0.588,0.333,360,0.0,6.884905170174071,6.884905170174071,0.2540650406504065,100.0,3849,265,265,2.0758098406154515,0.6948076979077784
0.3478,3.044022750506393,31.65224418946436,0.5885848203699988,0.05660469359090064,0.16061895096302392,True,0.23666314738266106,0.1357793031213258,0.588,0.3478,360,0.0,6.0885136863647995,6.0885136863647995,0.22817916858413867,100.0,3909,238,238,2.065322640212009,0.6912974594325368
0.3626,3.335910093777338,31.17007318799465,0.5796186778560934,0.062032443309973956,0.16745379994017384,True,0.23666314738266106,0.1357793031213258,0.588,0.3626,360,0.0,5.8704963466868225,5.8704963466868225,0.22338548857186685,100.0,3969,233,233,2.0606385644203082,0.6897296222183669
0.37739999999999996,3.629777042584665,30.729439006332218,0.5714249273873987,0.06749700450320564,0.1742886489173238,True,0.23666314738266106,0.1357793031213258,0.588,0.37739999999999996,360,0.0,5.361131794489948,5.361131794489948,0.20708697653014266,100.0,4029,216,216,2.060099169748585,0.6895490779494311
0.3922,4.18163201935194,30.22733633963049,0.5620881484178272,0.07775894550260476,0.18112349789447377,True,0.23666314738266106,0.1357793031213258,0.588,0.3922,360,0.0,5.45365615064808,5.45365615064808,0.21379812854732322,100.0,4089,223,223,2.0557034137670684,0.6880777461181992
0.407,4.513509676940784,29.761951848192624,0.5534341570718639,0.08393032944326592,0.18795834687162372,True,0.23666314738266106,0.1357793031213258,0.588,0.407,360,0.0,6.700409737286093,6.700409737286093,0.26652860868231326,100.0,4149,278,278,2.0492852825734147,0.6859294920381382
0.333,2.963555717161306,31.194798561199384,0.5800784550288961,0.0551083802778974,0.16006100410774637,True,0.23666314738266106,0.1357793031213258,0.612,0.333,360,0.0,8.121305576972501,8.121305576972501,0.3029605767755791,100.0,3891,316,316,2.073363658023023,0.6939889203577098
0.3478,2.7885159083643614,30.825967423718737,0.5732199078907703,0.05185345232392183,0.1671748265125351,True,0.23666314738266106,0.1357793031213258,0.612,0.3478,360,0.0,7.21336370539104,7.21336370539104,0.2732397606994938,100.0,3951,285,285,2.0608028570145085,0.6897846136520358
0.3626,3.2342683501075253,30.15637422564813,0.5607685824855864,0.06014237867247495,0.1742886489173238,True,0.23666314738266106,0.1357793031213258,0.612,0.3626,360,0.0,6.980802792321117,6.980802792321117,0.268446080687222,100.0,4011,280,280,2.057786944372708,0.6887751380831566
0.37739999999999996,3.2675129731047194,29.71310520169289,0.5525258361805038,0.060760574347256985,0.1814024713221125,True,0.23666314738266106,0.1357793031213258,0.612,0.37739999999999996,360,0.0,6.411201179071481,6.411201179071481,0.25023009664058904,100.0,4071,261,261,2.0575810979998357,0.6887062379162628
0.3922,3.8525565685075507,29.144059854984526,0.5419442340934641,0.07163966960026948,0.18851629372690126,True,0.23666314738266106,0.1357793031213258,0.612,0.3922,360,0.0,6.463326071169209,6.463326071169209,0.25598251265531524,100.0,4131,267,267,2.053958200898699,0.6874935946647734
0.407,3.877747592172706,28.768761833181255,0.5349654329245467,0.07210810571020657,0.19563011613168999,True,0.23666314738266106,0.1357793031213258,0.612,0.407,360,0.0,7.7069911715581005,7.7069911715581005,0.3096717287927596,100.0,4191,323,323,2.0442897159346853,0.6842573937138662
0.333,3.008943939982642,31.031422101329206,0.5770404112267007,0.05595239054195007,0.16633790622961875,True,0.23666314738266106,0.1357793031213258,0.6359999999999999,0.333,360,0.0,8.843537414965986,8.843537414965986,0.3365163368614818,100.0,3969,351,351,2.0650882972791216,0.6912190209982763
0.3478,2.6912993786338646,30.707851548895892,0.5710235008824928,0.0500456761249923,0.17373070206204624,True,0.23666314738266106,0.1357793031213258,0.6359999999999999,0.3478,360,0.0,7.936507936507937,7.936507936507937,0.3067955207853965,100.0,4032,320,320,2.0505550125449887,0.6863544915449584
0.3626,3.4072445261789395,29.677375228134117,0.5518614245216327,0.06335893263660654,0.18112349789447374,True,0.23666314738266106,0.1357793031213258,0.6359999999999999,0.3626,360,0.0,7.6923076923076925,7.6923076923076925,0.3020018407731247,100.0,4095,315,315,2.0475386615474602,0.6853448692512065
0.37739999999999996,3.19851387179465,29.33607801143465,0.5455148805046779,0.05947751133892229,0.18851629372690124,True,0.23666314738266106,0.1357793031213258,0.6359999999999999,0.37739999999999996,360,0.0,7.239057239057239,7.239057239057239,0.28857953673876363,100.0,4158,301,301,2.0462061458661136,0.684898854334586
0.3922,3.6359500282758854,28.83341080714955,0.5361676037564935,0.06761179338365486,0.19590908955932873,True,0.23666314738266106,0.1357793031213258,0.6359999999999999,0.3922,360,0.0,7.273158019426676,7.273158019426676,0.2943319527534898,100.0,4221,307,307,2.0421218061544892,0.6835317586512619
0.407,3.598583787698773,28.471204432486704,0.5294322464563385,0.06691695475337213,0.20330188539175623,True,0.23666314738266106,0.1357793031213258,0.6359999999999999,0.407,360,0.0,8.473389355742297,8.473389355742297,0.3480211688909342,100.0,4284,363,363,2.029767905193542,0.6793967047947335
0.333,3.2763477528001697,30.854516431561198,0.5737507869195088,0.06092486024082361,0.17261480835149118,True,0.23666314738266106,0.1357793031213258,0.6599999999999999,0.333,360,0.0,10.582010582010582,10.582010582010582,0.40266912103083297,100.0,3969,420,420,2.0488996471139096,0.6858004135066621
0.3478,3.132369219995022,30.37745794569773,0.5648797134649006,0.05824752784186337,0.18028657761155745,True,0.23666314738266106,0.1357793031213258,0.6599999999999999,0.3478,360,0.0,9.697420634920634,9.697420634920634,0.3748657769596564,100.0,4032,391,391,2.0363508950835185,0.6816001397921554
0.3626,2.4812593801048215,30.49007467495889,0.5669738618913461,0.04613990710385346,0.18795834687162372,True,0.23666314738266106,0.1357793031213258,0.6599999999999999,0.3626,360,0.0,9.474969474969475,9.474969474969475,0.3719895689522933,100.0,4095,388,388,2.030254685182012,0.6795596380637443
0.37739999999999996,2.178775436866095,30.470247791001544,0.5666051738810213,0.040515109812063466,0.19563011613168996,True,0.23666314738266106,0.1357793031213258,0.6599999999999999,0.37739999999999996,360,0.0,9.139009139009138,9.139009139009138,0.3643196809326584,100.0,4158,380,380,2.0267079600343667,0.6783724908180138
0.3922,1.9937682597858695,30.56628979462248,0.5683911093461602,0.03707483507397173,0.20330188539175625,True,0.23666314738266106,0.1357793031213258,0.6599999999999999,0.3922,360,0.0,9.168443496801705,9.168443496801705,0.3710308329498389,100.0,4221,387,387,2.022289108086838,0.6768934283870603
0.407,1.4937145882356309,30.703299605680204,0.5709388558676274,0.027776157903310856,0.21097365465182252,True,0.23666314738266106,0.1357793031213258,0.6599999999999999,0.407,360,0.0,10.294117647058824,10.294117647058824,0.4228025770823746,100.0,4284,441,441,2.010875295850031,0.6730730376896851
