parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
0.387,1.1217620571884268,28.737773700449633,0.5343891974946584,0.020859567333551012,0.18328130080859192,True,0.23664477457403132,0.08801755474779335,0.603,0.387,360,0.0,0,0,0,0,0,0,0,2.043118586601649,0.7090125557349034
0.4042,1.0854673821306107,28.696256265458928,0.5336171659170567,0.020184654847996423,0.19142713640008488,True,0.23664477457403132,0.08801755474779335,0.603,0.4042,360,0.0,0,0,0,0,0,0,0,2.0350305467345065,0.7062058063593682
0.4214,1.0586127576772082,28.649349774019964,0.5327449229041274,0.019685283485403722,0.19957297199157786,True,0.23664477457403132,0.08801755474779335,0.603,0.4214,360,0.0,0,0,0,0,0,0,0,2.028529773285543,0.7039498775907059
0.4386,1.0404606229061237,28.59647594907389,0.5317617151867892,0.01934773803618951,0.20771880758307082,True,0.23664477457403132,0.08801755474779335,0.603,0.4386,360,0.0,0,0,0,0,0,0,0,2.0230480733047775,0.7020475924572722
0.4558,1.020623431686602,28.53583745689219,0.5306341207004508,0.0189788583586318,0.2158646431745638,True,0.23664477457403132,0.08801755474779335,0.603,0.4558,360,0.0,0,0,0,0,0,0,0,2.0176927492746604,0.7001891628965595
0.473,0.9747921378893865,28.488249675272378,0.5297492088525312,0.01812660903104896,0.22401047876605676,True,0.23664477457403132,0.08801755474779335,0.603,0.473,360,0.0,0,0,0,0,0,0,0,2.0124574681119296,0.6983723911724314
0.387,0.981631764303421,28.642093427239903,0.5326099885361086,0.01825379433456821,0.1914271364000849,True,0.23664477457403132,0.08801755474779335,0.6298,0.387,360,0.0,0,0,0,0,0,0,0,2.04941272987111,0.7111967787334642
0.4042,0.96475393538436,28.616515755246056,0.5321343625619797,0.017939945059202527,0.19993500912897758,True,0.23664477457403132,0.08801755474779335,0.6298,0.4042,360,0.0,0,0,0,0,0,0,0,2.0410428389268183,0.7082922200805543
0.4214,0.9573249375429006,28.602312004671855,0.5318702387314463,0.017801800182843334,0.20844288185787022,True,0.23664477457403132,0.08801755474779335,0.6298,0.4214,360,0.0,0,0,0,0,0,0,0,2.03428505537459,0.7059471024653119
0.4386,0.9369653884614284,28.594060509286564,0.5317167992185934,0.017423207073703817,0.21695075458676288,True,0.23664477457403132,0.08801755474779335,0.6298,0.4386,360,0.0,0,0,0,0,0,0,0,2.0285111769496167,0.7039434242033457
0.4558,0.9306609373042164,28.568850821949617,0.5312480160509929,0.017305973545815954,0.22545862731565555,True,0.23664477457403132,0.08801755474779335,0.6298,0.4558,360,0.0,0,0,0,0,0,0,0,2.0229723978228145,0.7020213311980262
0.473,0.93075276279374,28.55221938511794,0.5309387485247641,0.017307681073690854,0.2339665000445482,True,0.23664477457403132,0.08801755474779335,0.6298,0.473,360,0.0,0,0,0,0,0,0,0,2.017683350646181,0.7001859013406018
0.387,0.8616113053437091,28.69916907054529,0.5336713305711731,0.01602197090193336,0.1995729719915779,True,0.23664477457403132,0.08801755474779335,0.6566000000000001,0.387,360,0.0,0,0,0,0,0,0,0,2.0577142571431057,0.7140776135054734
0.4042,0.8613311219876877,28.711664966523863,0.5339036962336482,0.01601676079205024,0.20844288185787024,True,0.23664477457403132,0.08801755474779335,0.6566000000000001,0.4042,360,0.0,0,0,0,0,0,0,0,2.048835174006552,0.710996352599467
0.4214,0.8537150651798884,28.726833970927565,0.5341857693049509,0.0158751374871966,0.2173127917241626,True,0.23664477457403132,0.08801755474779335,0.6566000000000001,0.4214,360,0.0,0,0,0,0,0,0,0,2.0415796265744404,0.7084784986374737
0.4386,0.8413013846714461,28.723277136380062,0.534119628692276,0.01564430065084286,0.22618270159045495,True,0.23664477457403132,0.08801755474779335,0.6566000000000001,0.4386,360,0.0,0,0,0,0,0,0,0,2.035326051125995,0.7063083536736622
0.4558,0.8126723510660192,28.695031909625683,0.5335943985817023,0.015111933514372148,0.23505261145674727,True,0.23664477457403132,0.08801755474779335,0.6566000000000001,0.4558,360,0.0,0,0,0,0,0,0,0,2.029452575913444,0.7042701128692345
0.473,0.8024031401106406,28.663189090387323,0.5330022699500231,0.01492097385763081,0.24392252132303963,True,0.23664477457403132,0.08801755474779335,0.6566000000000001,0.473,360,0.0,0,0,0,0,0,0,0,2.0238896221292535,0.7023396306613835
