parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,1.4662702874190368,32.53892770237502,0.6050730179539564,0.027265821297488384,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,360,0.0,0,0,0,0,0,0,0,2.216589880344073,0.7419290928454805
4,-60.91928113332669,21.971282146773632,0.40856386290491853,-1.1328158574886609,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,4,0.0,0,0,0,0,0,0,0,1.207564682124399,0.4041917619066838
12,-1.7542077411789236,33.431169591214534,0.6216645755296432,-0.03262012140602441,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,12,0.0,0,0,0,0,0,0,0,2.0976230680941814,0.7021089439428879
20,-1.8423980324873117,33.3877498307633,0.6208571695285797,-0.0342600514677735,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,20,0.0,0,0,0,0,0,0,0,2.206104358460083,0.7384194161983089
28,-0.010654490689268492,32.45744809364771,0.6035578754389577,-0.0001981240714225339,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,28,0.0,0,0,0,0,0,0,0,2.1929283074255066,0.7340091751888844
36,-1.7754869277845344,31.741503594420667,0.5902446309830494,-0.033015815504392705,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,36,0.0,0,0,0,0,0,0,0,2.2083184985182616,0.7391605252953793
44,0.24796036959598267,32.258015855226965,0.5998493615173466,0.004610911906401533,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,44,0.0,0,0,0,0,0,0,0,2.2131934610067456,0.7407922554267898
52,1.493442306305143,32.42872619459796,0.6030237814362799,0.027771094723266276,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,52,0.0,0,0,0,0,0,0,0,2.2129394389310364,0.7407072300597317
60,1.5137431616879309,32.50081755748689,0.6043643461565007,0.028148596402051276,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,60,0.0,0,0,0,0,0,0,0,2.2131244345275785,0.7407691511288207
68,1.458855646554274,32.49839986894102,0.6043193883718342,0.027127943394254367,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,68,0.0,0,0,0,0,0,0,0,2.2146926282607593,0.7412940513659743
76,1.4064547163576266,32.50575702521737,0.6044561973285524,0.026153529324199877,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,76,0.0,0,0,0,0,0,0,0,2.2150243924105584,0.7414050982839819
84,1.484634609076682,32.50917199786368,0.6045196999683515,0.027607312437875828,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,84,0.0,0,0,0,0,0,0,0,2.2153522542136916,0.7415148390223721
92,1.4845372746540455,32.51959255440304,0.6047134739504477,0.027605502469416076,0.222,False,0.23666314738266106,0.1357793031213258,0.6,0.37,92,0.0,0,0,0,0,0,0,0,2.2156371624737807,0.741610202503378
