parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,-2.1306504440873195,30.751169494153505,0.5718290135935548,-0.03962020833018271,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,360,0.0,0,0,0,0,0,0,0,2.1394552379953824,0.732961835355438
4,7.460926991547092,22.265125842476806,0.41402799169834786,0.13873861034394272,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,4,0.0,0,0,0,0,0,0,0,1.0024719449598638,0.3434396119259698
12,-3.058259668904757,31.055047693640965,0.5774797375797932,-0.05686943418900687,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,12,0.0,0,0,0,0,0,0,0,1.9833786680171732,0.6794911353587427
20,1.40261365296739,29.76709394864868,0.5535297762720425,0.026082103374367078,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,20,0.0,0,0,0,0,0,0,0,2.1278812359487356,0.7289966662638583
28,-5.201718650542675,30.06096975083328,0.5589945020969963,-0.09672782186370289,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,28,0.0,0,0,0,0,0,0,0,2.1141844951106226,0.724304262270168
36,-2.0255153283943077,30.632721648772247,0.5696264334738125,-0.037665183188384146,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,36,0.0,0,0,0,0,0,0,0,2.1292292220213236,0.7294584765080041
44,-2.0679489064784984,30.658058868342636,0.5700975881489833,-0.03845425077502475,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,44,0.0,0,0,0,0,0,0,0,2.1314902428685443,0.7302330858386992
52,-2.1470808241440134,30.747177517494944,0.5717547813574315,-0.039925737133650586,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,52,0.0,0,0,0,0,0,0,0,2.133733806089394,0.7310017143133154
60,-2.114616753734259,30.715612061337954,0.5711678103916179,-0.03932205611387112,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,60,0.0,0,0,0,0,0,0,0,2.1359796251661893,0.7317711156278045
68,-2.187667947447947,30.762719316793184,0.5720437866833549,-0.04068046923214527,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,68,0.0,0,0,0,0,0,0,0,2.1363504059122977,0.7318981424201184
76,-2.133170716347793,30.742745021060358,0.5716723574982535,-0.03966707369577369,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,76,0.0,0,0,0,0,0,0,0,2.137128063975261,0.7321645624278783
84,-2.0922850634971297,30.725727068340813,0.5713559025706174,-0.03890679033340699,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,84,0.0,0,0,0,0,0,0,0,2.1375064769507075,0.7322942039665653
92,-2.141253583412881,30.744110270224546,0.5716977447955729,-0.039817377504600085,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,92,0.0,0,0,0,0,0,0,0,2.1378153016713743,0.7324000050742693
100,-2.1085420493588707,30.73778103617288,0.571580050420884,-0.039209094809699876,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,100,0.0,0,0,0,0,0,0,0,2.138113736066267,0.7325022465317811
108,-2.0855852238135073,30.7213507407281,0.571274523190805,-0.038782204414219465,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,108,0.0,0,0,0,0,0,0,0,2.13833046231405,0.7325764953711695
116,-2.1210067077450887,30.74426825685479,0.5717006826135623,-0.03944087959795409,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,116,0.0,0,0,0,0,0,0,0,2.1384887214822745,0.7326307138134831
124,-2.0997475190833623,30.733066133424405,0.5714923751151249,-0.039045557368516746,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,124,0.0,0,0,0,0,0,0,0,2.1386067098138843,0.7326711357594773
132,-2.0790361003741284,30.72111317541924,0.5712701055787771,-0.038660421117588925,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,132,0.0,0,0,0,0,0,0,0,2.1387923588770708,0.7327347377809958
140,-2.1141374138858815,30.738833344648363,0.5715996184739834,-0.039313142617663256,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,140,0.0,0,0,0,0,0,0,0,2.1388181827257418,0.7327435848441088
148,-2.091585623959616,30.729630209745064,0.5714284828833607,-0.038893784004627174,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,148,0.0,0,0,0,0,0,0,0,2.138947937102257,0.7327880377516841
156,-2.1217134704902136,30.745327033977578,0.5717203709534757,-0.03945402210440303,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,156,0.0,0,0,0,0,0,0,0,2.1389999469975702,0.7328058559643059
164,-2.1031717676436337,30.732829562794954,0.571487975999517,-0.03910923249725913,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,164,0.0,0,0,0,0,0,0,0,2.1390170339564154,0.7328117098323809
172,-2.126339354426899,30.747752256887185,0.5717654688423353,-0.03954004207346522,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,172,0.0,0,0,0,0,0,0,0,2.1390727750154195,0.7328308063146007
180,-2.1112154924923745,30.73998648990078,0.5716210616230756,-0.03925880844254954,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,180,0.0,0,0,0,0,0,0,0,2.139137624711805,0.7328530233498723
188,-2.0957917212678336,30.730728158378014,0.5714488996315392,-0.03897199789094113,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,188,0.0,0,0,0,0,0,0,0,2.139154583254218,0.73285883322341
196,-2.1186070432923314,30.74323414250657,0.5716814528867774,-0.03939625697775629,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,196,0.0,0,0,0,0,0,0,0,2.139184581224434,0.7328691103102666
204,-2.1053267818719386,30.735463282552022,0.5715369509619506,-0.03914930575888536,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,204,0.0,0,0,0,0,0,0,0,2.139228567108497,0.7328841795548761
212,-2.12375749497366,30.74709991616697,0.5717533383329366,-0.03949203147196066,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,212,0.0,0,0,0,0,0,0,0,2.139268456009279,0.7328978452027515
220,-2.1100682425564368,30.73891754876927,0.5716011842797785,-0.03923747491897941,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,220,0.0,0,0,0,0,0,0,0,2.1393080270036373,0.7329114019381935
228,-2.128602793893437,30.74938923732981,0.571795909080127,-0.03958213154124059,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,228,0.0,0,0,0,0,0,0,0,2.1393060817115934,0.7329107354952592
236,-2.1192977433349696,30.744370451356378,0.5717025829569313,-0.0394091007924979,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,236,0.0,0,0,0,0,0,0,0,2.1392842836555452,0.7329032676394777
244,-2.1343872551881704,30.752720578995486,0.5718578565718798,-0.03968969567134518,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,244,0.0,0,0,0,0,0,0,0,2.1393210273789243,0.7329158557724038
252,-2.1221913676559607,30.745107491162017,0.5717162884761675,-0.039462908773410535,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,252,0.0,0,0,0,0,0,0,0,2.139342206193589,0.7329231114805822
260,-2.1377500227739406,30.75519844953184,0.57190393346222,-0.03975222753934067,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,260,0.0,0,0,0,0,0,0,0,2.139349517699497,0.7329256163494359
268,-2.1266134518468225,30.74870425154382,0.571783171524035,-0.03954513901318626,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,268,0.0,0,0,0,0,0,0,0,2.1393642054021877,0.7329306482497674
276,-2.1160127953299823,30.742819625946296,0.5716737448028353,-0.03934801600748655,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,276,0.0,0,0,0,0,0,0,0,2.139383120116584,0.7329371282936276
284,-2.1302391557122085,30.750635986736512,0.5718190928320025,-0.03961256027550021,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,284,0.0,0,0,0,0,0,0,0,2.139398847218637,0.7329425162846361
292,-2.1208070083267128,30.745656416249165,0.5717264959348197,-0.03943716611572549,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,292,0.0,0,0,0,0,0,0,0,2.139397775579705,0.7329421491489166
300,-2.1344034456932333,30.753449104952438,0.5718714037730495,-0.039689996739587195,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,300,0.0,0,0,0,0,0,0,0,2.1394204801705503,0.7329499275769394
308,-2.1248330500919996,30.74752841901538,0.5717613064969174,-0.039512031804712314,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,308,0.0,0,0,0,0,0,0,0,2.1394155797905556,0.7329482487423225
316,-2.1376343013587698,30.755350925161952,0.5719067688011875,-0.039750075658167454,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,316,0.0,0,0,0,0,0,0,0,2.1394299527745693,0.7329531728223196
324,-2.1284704684699896,30.749540497663958,0.5717987218202307,-0.03957967090258495,0.20522454009575325,True,0.23777605895932696,0.1231966531111641,0.67,0.39,324,0.0,0,0,0,0,0,0,0,2.139426570317063,0.7329520140169296
