parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,-1.630260994423157,30.855606245754785,0.573771052404873,-0.030315287245198257,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,360,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8616455355350734,0.6377862477672412
4,-57.935750819010764,16.32704507601322,0.30360725248154163,-1.0773360424206158,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,4,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,0.9286492972658009,0.31814850866580663
12,0.6328452580689792,23.569493509974958,0.4382831757755129,0.011767984295613355,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,12,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.814737945772847,0.6217160479922572
20,0.8996901689056287,28.1289819014054,0.5230684958869523,0.016730061011921402,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,20,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.818524756776044,0.6230133819554806
28,-0.056888634755631884,28.457114907810876,0.5291702466973077,-0.0010578645440844712,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,28,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8658509944999997,0.6392270074834073
36,-1.3610188679850719,29.79178820319452,0.5539889747822344,-0.02530863344596006,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,36,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8563158335861316,0.6359603305650405
44,0.38412157410833414,25.9538868510356,0.4826218241803149,0.007142878285137514,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,44,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8508128024176882,0.6340750320303447
52,-1.8066980548273004,28.97503682218974,0.5388011902448062,-0.03359619759338614,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,52,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.860101430211703,0.6372572484913039
60,-2.372860511486027,29.64109681258919,0.5511868143875454,-0.04412419130713466,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,60,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8599554197317798,0.6372072263606956
68,-1.5602824825088986,29.26226290776171,0.5441422622070347,-0.02901401174579707,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,68,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8604133966288396,0.6373641259214147
76,-1.6215540390752952,29.493176251267315,0.5484361785560536,-0.030153378291169125,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,76,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.860099317810393,0.637256524797948
84,-1.7980396040223787,29.719913733562425,0.5526524432698282,-0.03343519059871011,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,84,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.858956488073266,0.636864999625209
92,-1.8694782367590455,30.644071863679436,0.569837494786316,-0.034763617567903825,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,92,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8617965617180672,0.6378379882413151
100,-1.581872025943637,29.820030914025153,0.5545141581083046,-0.029415477040590776,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,100,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8619228499424278,0.6378812536703211
108,-1.632557201194755,29.95617236093148,0.5570457570872782,-0.03035798603275036,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,108,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8604075136247904,0.637362110446929
116,-1.6643471496668931,30.241843848153525,0.5623579207362427,-0.03094913151359033,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,116,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.861230547336431,0.6376440758225677
124,-1.634430492527033,30.228100186729883,0.5621023524282946,-0.030392820556195514,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,124,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.861329884708895,0.637678108085336
132,-1.5963200487991565,30.362672721594485,0.5646047769257773,-0.02968414320170766,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,132,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8612740438620288,0.637658977416519
140,-1.5823722253702694,30.317640252063118,0.5637673820216029,-0.02942477842812941,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,140,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.861245434380363,0.6376491760157615
148,-1.6273790103161943,30.33970258825271,0.5641776390670549,-0.030261695718235677,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,148,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.861240807757752,0.6376475909684372
156,-1.6438548619402382,30.583682676619603,0.5687145362180343,-0.030568070081788974,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,156,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8612913034819871,0.6376648904370382
164,-1.6309085012411748,30.520958852313967,0.5675481642337646,-0.03032732786645374,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,164,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8614272301464503,0.6377114579256631
172,-1.628467024509547,30.475340501434655,0.5666998746560288,-0.030281927731950764,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,172,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8614035131018123,0.6377033326383197
180,-1.6189888381045876,30.63614781703416,0.5696901443000947,-0.030105677460115273,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,180,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8614569211663006,0.6377216298535522
188,-1.6096796845064136,30.55634962537719,0.5682062683378998,-0.0299325704138793,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,188,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.861551817928087,0.6377541407953345
196,-1.6232170685789507,30.59234417759207,0.5688755999316686,-0.030184302920583075,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,196,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8615382250296417,0.6377494839669909
204,-1.6444905050285947,30.736935666820635,0.5715643304749187,-0.03057989009274113,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,204,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8614834134997167,0.6377307059346867
212,-1.6331163856101087,30.692643261576528,0.5707406973313,-0.030368384267286108,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,212,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.86144173068858,0.6377164257061448
220,-1.6293138808385292,30.650250629227575,0.5699523911452752,-0.03029767532878117,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,220,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8616116645899505,0.6377746438272934
228,-1.672000536712323,30.865242001983756,0.5739502327440367,-0.031091448987586562,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,228,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8615478352367476,0.6377527763541899
236,-1.6425989330945432,30.74118173579479,0.571643287648681,-0.030544715634956827,0.26130000000000003,False,0.23777605895932696,0.1231966531111641,0.67,0.39,236,0.0,6.45,6.45,0.24735388863322597,100.0,4000,258,258,1.8615617779170348,0.6377575530152537
