parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,3.1712375754304483,22.565671266223255,0.419616741525689,0.05897029883608098,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,360,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8137542147122874,0.6294174599953559
4,11.30031478992424,18.749222135772634,0.34864850267186354,0.21013340194582128,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,4,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,0.9587360580091391,0.33270506529673094
12,-1.0281331123269162,20.550058747589993,0.38213570463257146,-0.019118503560540945,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,12,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.650080121503184,0.5726185116157604
20,2.064181923085698,23.15175696279112,0.4305152150232063,0.038384202369284026,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,20,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.7948168579866501,0.6228457300042737
28,2.5573665131306518,21.74393206470849,0.40433620667895154,0.04755514650845133,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,28,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8003341178699694,0.6247603553011991
36,3.196918815535002,21.85695391634197,0.4064378885010486,0.059447850696332606,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,36,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8107401917621546,0.6283715196721015
44,4.502741643821423,23.110830338350787,0.4297541697794513,0.08373009400967833,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,44,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.804330829699225,0.6261473129096214
52,5.143897049978602,22.597156159162157,0.4202022143895999,0.09565260848616805,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,52,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8035308763314122,0.625869709355182
60,5.323487697221801,22.29945805800105,0.4146664115458091,0.09899216091142563,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,60,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8082148060207097,0.6274951485155273
68,4.236134121445656,22.340764216516703,0.41543451436166573,0.07877243161684669,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,68,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.810404724059178,0.6282551041027784
76,4.487336629268389,22.225446926610278,0.41329014804252423,0.08344363224509632,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,76,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8110119161396347,0.6284658147348532
84,4.78906098946198,21.87479770552635,0.4067697001536109,0.08905430481803539,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,84,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.810466033497077,0.6282763799903067
92,4.034483912867667,22.14334509234349,0.4117634350207016,0.07502267374555632,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,92,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8126882531842536,0.6290475450465799
100,4.296303886126343,22.049288114224918,0.4100144118159302,0.07989130994737832,0.22627321087480484,True,0.23664477457403132,0.08801755474779335,0.67,0.43,100,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8137290853625543,0.6294087394910274
